Orthogroup	HART001	HART027	HART058	HART060	HART061	HART062	HART063	HART067	HART068	N1523	N9750	Total
OG0000193	5	5	5	4	5	5	5	5	4	2	4	49
OG0000194	3	5	5	5	4	4	5	5	5	4	4	49
OG0000195	4	5	4	5	3	5	6	4	5	3	5	49
OG0000196	5	3	4	5	5	3	5	5	5	3	5	48
OG0000197	3	5	5	5	5	5	4	4	5	2	5	48
OG0000198	5	3	5	3	7	7	5	5	4	2	2	48
OG0000199	5	4	5	3	3	5	5	5	5	3	5	48
OG0000200	5	4	5	4	5	5	4	4	5	3	4	48
OG0000201	5	4	3	6	4	4	6	3	5	4	4	48
OG0000202	5	4	5	3	5	5	6	4	4	2	4	47
OG0000203	4	4	5	5	4	3	5	4	4	4	5	47
OG0000204	6	1	3	3	5	3	6	6	5	5	4	47
OG0000205	4	5	6	2	4	4	8	4	3	2	5	47
OG0000206	4	4	5	5	4	5	5	5	5	1	4	47
OG0000207	4	2	4	4	4	4	6	4	4	7	4	47
OG0000208	8	5	7	2	4	3	8	3	2	2	3	47
OG0000209	4	4	4	4	4	4	4	4	4	7	4	47
OG0000210	5	4	4	5	5	5	4	4	4	3	4	47
OG0000211	6	4	4	2	5	5	10	6	2	1	2	47
OG0000212	5	3	4	3	5	5	5	5	4	5	3	47
OG0000213	4	4	4	4	5	5	5	5	4	2	4	46
OG0000214	4	5	4	4	5	4	4	4	5	3	4	46
OG0000215	6	0	12	0	14	0	0	14	0	0	0	46
OG0000216	5	4	4	5	5	4	5	6	4	1	3	46
OG0000217	4	4	4	4	5	4	5	5	5	2	4	46
OG0000218	5	4	4	5	4	4	5	3	5	2	5	46
OG0000219	4	4	4	3	4	4	4	4	4	7	4	46
OG0000220	5	5	5	3	4	3	5	5	4	3	3	45
OG0000221	5	3	4	5	3	4	5	5	4	3	4	45
OG0000222	6	4	5	2	6	5	4	4	4	1	4	45
OG0000223	5	5	4	3	5	5	5	5	4	0	4	45
OG0000224	5	4	5	3	5	5	4	4	5	1	4	45
OG0000225	5	4	4	3	4	4	5	5	4	4	3	45
OG0000226	4	5	3	3	4	5	4	3	3	8	3	45
OG0000227	5	4	3	4	4	4	5	5	4	3	4	45
OG0000228	4	3	2	3	2	3	4	5	6	10	3	45
OG0000229	5	4	4	4	4	4	5	5	4	2	4	45
OG0000230	4	4	4	5	5	5	4	4	4	3	3	45
OG0000231	5	5	5	3	5	5	5	5	3	2	1	44
OG0000232	5	3	4	5	4	4	4	3	5	4	3	44
OG0000233	5	4	4	3	5	4	5	5	3	2	4	44
OG0000234	4	4	4	4	4	4	4	4	3	5	4	44
OG0000235	3	2	3	4	3	3	4	4	4	10	4	44
OG0000236	4	4	4	5	4	4	4	4	5	2	4	44
OG0000237	5	3	5	4	5	5	5	5	2	3	2	44
OG0000238	5	4	4	3	3	4	5	5	3	5	3	44
OG0000239	5	4	3	3	5	5	5	5	3	3	3	44
OG0000240	4	4	5	4	4	4	5	5	3	3	3	44
OG0000241	4	4	6	2	6	5	5	4	1	5	2	44
OG0000242	4	4	4	4	4	4	4	4	4	4	4	44
OG0000243	4	6	4	3	5	5	4	4	3	4	2	44
OG0000244	4	4	4	4	5	5	4	3	4	3	4	44
OG0000245	4	4	4	3	4	4	4	4	3	7	3	44
OG0000246	6	3	5	4	5	6	5	4	2	1	3	44
OG0000247	4	4	4	4	4	4	4	5	4	2	4	43
OG0000248	3	3	3	5	4	4	3	3	6	3	6	43
OG0000249	4	4	4	4	4	4	4	4	4	3	4	43
OG0000250	5	5	4	2	4	4	5	5	3	3	3	43
OG0000251	10	1	3	0	3	3	11	11	0	0	1	43
OG0000252	5	5	6	2	3	5	6	5	2	0	4	43
OG0000253	4	4	4	4	4	4	5	4	4	2	4	43
OG0000254	5	2	4	4	4	4	5	5	4	2	4	43
OG0000255	5	4	3	4	4	5	5	4	2	3	4	43
OG0000256	5	1	6	0	7	7	8	8	0	1	0	43
OG0000257	3	4	3	3	3	3	3	3	3	12	3	43
OG0000258	5	3	5	2	5	5	7	5	1	2	3	43
OG0000259	4	3	5	3	4	4	5	4	3	6	2	43
OG0000260	4	4	4	4	3	3	5	4	4	4	4	43
OG0000261	4	4	4	4	4	4	4	4	4	2	4	42
OG0000262	4	4	4	4	4	4	4	4	4	2	4	42
OG0000263	4	4	4	4	4	4	4	4	4	2	4	42
OG0000264	4	4	4	4	4	4	4	4	4	2	4	42
OG0000265	5	5	4	2	2	5	5	5	3	3	3	42
OG0000266	4	4	4	4	4	4	4	4	4	2	4	42
OG0000267	4	4	4	4	4	4	4	4	4	2	4	42
OG0000268	4	5	3	3	4	4	5	5	4	2	3	42
OG0000269	4	4	4	4	4	4	4	3	4	3	4	42
OG0000270	4	4	4	4	4	4	4	4	4	2	4	42
OG0000271	4	4	4	4	4	4	4	4	4	2	4	42
OG0000272	4	3	4	4	4	4	4	4	2	5	4	42
OG0000273	4	4	4	4	4	4	4	4	4	2	4	42
OG0000274	5	3	3	2	5	5	5	5	3	3	3	42
OG0000275	4	4	4	4	4	4	4	4	4	2	4	42
OG0000276	5	4	2	4	4	4	6	5	4	1	3	42
OG0000277	5	3	3	3	4	4	6	5	3	3	3	42
OG0000278	4	4	4	4	4	4	4	4	4	2	4	42
OG0000279	5	4	4	3	4	4	5	5	3	2	3	42
OG0000280	4	4	4	4	4	4	4	4	4	2	4	42
OG0000281	4	4	4	4	4	4	4	4	4	2	4	42
OG0000282	4	4	4	4	4	4	4	4	4	2	4	42
OG0000283	4	4	4	3	4	4	4	4	4	3	3	41
OG0000284	4	4	4	3	4	4	4	4	4	2	4	41
OG0000285	4	3	4	4	4	4	4	4	3	3	4	41
OG0000286	3	1	5	3	5	4	4	4	5	3	4	41
OG0000287	5	2	4	1	6	4	6	6	4	0	3	41
OG0000288	5	4	5	4	5	5	5	4	2	0	2	41
OG0000289	4	4	3	4	3	3	5	5	4	2	4	41
OG0000290	4	4	3	4	4	4	4	4	4	2	4	41
OG0000291	5	4	4	2	4	4	5	5	2	4	2	41
OG0000292	4	4	4	3	4	4	3	4	3	5	3	41
OG0000293	4	4	4	4	4	4	4	4	4	2	3	41
OG0000294	4	4	4	4	4	4	4	4	3	3	3	41
OG0000295	5	5	3	3	5	2	6	6	2	3	1	41
OG0000296	4	4	4	4	4	3	4	4	4	2	4	41
OG0000297	4	3	4	4	4	4	4	4	4	2	4	41
OG0000298	4	3	2	4	4	4	4	4	4	4	4	41
OG0000299	4	4	3	3	2	3	4	3	4	7	4	41
OG0000300	5	4	5	1	5	5	5	5	2	4	0	41
OG0000301	4	4	4	3	3	4	5	4	3	3	3	40
OG0000302	3	3	4	3	4	4	4	4	4	3	4	40
OG0000303	3	4	4	4	4	4	3	3	4	3	4	40
OG0000304	4	3	4	4	3	4	4	4	4	2	4	40
OG0000305	3	4	4	4	4	4	4	4	3	2	4	40
OG0000306	4	4	4	4	4	4	4	4	3	2	3	40
OG0000307	4	4	2	4	4	4	4	4	4	2	4	40
OG0000308	4	4	4	3	4	4	4	4	3	3	3	40
OG0000309	4	4	4	3	3	4	4	4	4	2	4	40
OG0000310	4	4	4	4	3	4	4	4	4	1	4	40
OG0000311	4	4	4	4	4	4	4	4	4	2	2	40
OG0000312	4	4	3	4	4	3	4	4	4	2	4	40
OG0000313	4	4	4	3	4	4	4	4	3	3	3	40
OG0000314	4	4	3	3	3	3	5	4	3	5	3	40
OG0000315	4	4	4	4	4	4	4	4	3	1	4	40
OG0000316	5	5	3	4	3	4	5	3	3	2	3	40
OG0000317	4	4	3	4	3	3	4	4	4	3	4	40
OG0000318	4	4	4	4	2	4	6	4	4	2	2	40
OG0000319	4	4	4	4	4	4	3	3	4	2	4	40
OG0000320	5	4	4	4	2	4	4	4	4	2	3	40
OG0000321	4	4	4	3	4	4	4	4	3	2	3	39
OG0000322	4	4	4	4	3	4	4	4	3	2	3	39
OG0000323	4	3	4	3	4	4	4	4	4	2	3	39
OG0000324	4	3	4	3	3	4	4	4	3	4	3	39
OG0000325	4	4	3	4	3	3	4	4	4	2	4	39
OG0000326	4	4	4	3	4	4	4	4	3	2	3	39
OG0000327	4	4	2	2	2	3	4	4	3	8	3	39
OG0000328	4	4	4	3	3	4	4	4	4	2	3	39
OG0000329	4	3	4	4	3	3	4	4	4	2	4	39
OG0000330	4	4	3	4	3	3	4	3	4	3	4	39
OG0000331	4	3	4	3	3	4	5	4	3	3	3	39
OG0000332	4	4	3	3	2	2	5	4	3	6	3	39
OG0000333	4	3	4	3	4	4	4	4	3	2	4	39
OG0000334	4	4	4	3	4	4	4	4	3	2	3	39
OG0000335	3	4	4	4	4	3	3	3	4	3	4	39
OG0000336	5	4	5	2	4	4	5	5	2	1	2	39
OG0000337	4	4	4	4	4	4	4	4	3	1	3	39
OG0000338	4	4	4	2	3	3	5	5	3	3	3	39
OG0000339	4	3	4	4	4	4	4	4	2	2	4	39
OG0000340	4	4	4	4	3	2	4	4	4	2	4	39
OG0000341	4	2	3	2	4	4	4	4	3	7	2	39
OG0000342	4	3	4	3	4	4	4	4	3	2	3	38
OG0000343	4	3	3	4	3	3	4	4	4	2	4	38
OG0000344	3	5	2	3	3	3	2	4	4	4	5	38
OG0000345	4	3	3	4	2	3	5	4	4	2	4	38
OG0000346	4	3	3	3	3	4	4	4	4	2	4	38
OG0000347	3	4	4	4	4	4	2	3	4	2	4	38
OG0000348	3	2	3	4	3	3	4	4	5	3	4	38
OG0000349	4	4	4	4	3	4	4	3	3	2	3	38
OG0000350	4	4	3	4	3	3	4	4	3	2	4	38
OG0000351	4	3	3	2	3	3	4	3	2	8	3	38
OG0000352	4	4	3	4	4	4	4	3	3	2	3	38
OG0000353	4	4	4	3	4	4	4	4	3	2	2	38
OG0000354	4	4	3	4	3	3	5	4	3	2	3	38
OG0000355	4	3	4	3	4	4	4	4	3	2	3	38
OG0000356	5	4	3	3	2	3	5	5	3	2	3	38
OG0000357	4	3	4	4	4	4	4	4	2	2	3	38
OG0000358	3	3	4	3	4	4	4	4	3	3	3	38
OG0000359	4	2	4	3	4	4	4	3	4	3	3	38
OG0000360	4	3	4	4	4	4	4	4	2	2	3	38
OG0000361	4	4	4	3	4	4	4	4	3	1	3	38
OG0000362	3	4	4	3	4	4	3	3	4	2	4	38
OG0000363	4	4	3	4	3	3	4	4	4	2	3	38
OG0000364	3	3	5	2	4	4	7	3	2	3	2	38
OG0000365	4	3	4	2	4	4	3	4	3	3	4	38
OG0000366	3	3	3	2	3	3	3	3	3	10	2	38
OG0000367	4	3	3	2	4	4	3	3	4	4	4	38
OG0000368	4	3	4	4	4	3	4	4	3	1	4	38
OG0000369	4	3	4	4	4	3	4	4	3	2	3	38
OG0000370	3	4	4	4	3	3	4	4	3	2	4	38
OG0000371	3	3	4	3	4	4	4	4	3	2	3	37
OG0000372	3	2	3	2	3	3	2	3	3	11	2	37
OG0000373	4	3	4	3	3	3	4	4	3	3	3	37
OG0000374	3	3	3	4	3	3	4	4	4	3	3	37
OG0000375	4	4	4	3	4	3	4	4	3	1	3	37
OG0000376	4	4	4	2	4	4	4	3	2	4	2	37
OG0000377	4	4	4	3	4	4	3	4	3	2	2	37
OG0000378	4	6	2	4	2	2	6	4	3	1	3	37
OG0000379	4	4	4	2	3	4	4	4	3	2	3	37
OG0000380	4	3	3	3	2	2	5	5	4	3	3	37
OG0000381	5	3	2	3	2	1	5	5	4	3	4	37
OG0000382	3	4	4	3	3	4	4	4	3	2	3	37
OG0000383	4	2	4	4	4	4	3	3	3	3	3	37
OG0000384	4	3	4	3	4	4	4	4	2	2	3	37
OG0000385	4	4	3	3	4	3	4	4	3	2	3	37
OG0000386	3	4	2	2	4	3	4	3	4	5	3	37
OG0000387	5	4	5	4	2	2	5	4	1	0	5	37
OG0000388	4	4	3	3	4	4	3	4	3	2	3	37
OG0000389	4	3	3	4	3	3	3	4	4	2	4	37
OG0000390	4	4	4	3	4	2	4	3	4	1	4	37
OG0000391	4	4	2	3	4	4	4	4	2	2	4	37
OG0000392	4	2	4	2	3	3	4	4	2	6	3	37
OG0000393	4	7	2	0	5	6	6	7	0	0	0	37
OG0000394	4	4	4	2	2	4	4	4	3	2	4	37
