Gene	subset	category	mean_log2_Arto_vs_Bato
Morus_003169-R1	B-unique	Bato-only	-4.466605019613963
Morus_003184-R1	Homeologs	Bato-only	-0.5152418632868372
Morus_003186-R1	A-unique	Neither	-3.1636144227149763
Morus_003200-R1	Homeologs	Bato-only	2.513946869582442
Morus_003211-R1	Homeologs	Both	2.047729508112142
Morus_003236-R1	Homeologs	Neither	-1.278418945277384
Morus_003248-R1	A-unique	Neither	1.6528350402156646
Morus_003276-R1	B-unique	Neither	0.7979485432913895
Morus_003281-R1	Homeologs	Arto-only	0.8698380892478869
Morus_003291-R1	Homeologs	Bato-only	-0.2913718414335613
Morus_003300-R1	A-unique	Arto-only	1.087349086093067
Morus_003311-R1	B-unique	Neither	0
Morus_003329-R1	Homeologs	Neither	0
Morus_003336-R1	B-unique	Neither	0
Morus_003347-R1	Homeologs	Neither	0
Morus_003355-R1	Homeologs	Neither	-0.43538317471567056
Morus_003359-R1	Homeologs	Both	0
Morus_003364-R1	Homeologs	Both	-2.2831539216969237
Morus_003365-R1	B-unique	Bato-only	0
Morus_003380-R1	A-unique	Neither	0
Morus_003382-R1	Homeologs	Bato-only	0.12404091271077411
Morus_003385-R1	Homeologs	Neither	0.49564979706246126
Morus_003398-R1	A-unique	Bato-only	0
Morus_003400-R1	A-unique	Bato-only	0.06185793391426735
Morus_003424-R1	Homeologs	Both	-0.044966555798154284
Morus_003426-R1	A-unique	Bato-only	-1.625458469815692
Morus_003444-R1	Homeologs	Both	-0.37624561444435384
Morus_003445-R1	Homeologs	Both	2.4318671813223043
Morus_003467-R1	Homeologs	Both	-0.3970870181095021
Morus_003472-R1	Homeologs	Bato-only	-0.904655829704565
Morus_003477-R1	A-unique	Neither	0
Morus_003489-R1	Homeologs	Arto-only	0
Morus_003501-R1	Homeologs	Bato-only	1.7653978634347927
Morus_003529-R1	A-unique	Both	-1.630965068970149
Morus_003531-R1	Homeologs	Both	0
Morus_003534-R1	A-unique	Neither	0
Morus_003540-R2	A-unique	Bato-only	1.5420243354319827
