Morus	tissue	TPM_bato
Morus_000302-R1	YL	42.281777
Morus_000304-R1	ML	21.105068
Morus_000304-R1	YL	48.27447
Morus_000305-R1	ML	27.899927
Morus_000305-R1	YL	25.959305
Morus_000306-R1	ML	0.680075
Morus_000306-R1	YL	42.777947
Morus_000307-R1	ML	8.993813
Morus_000307-R1	YL	37.715168
Morus_000308-R1	ML	43.155219
Morus_000308-R1	YL	6.940594
Morus_000309-R1	ML	18.341833
Morus_000309-R1	YL	41.954011
Morus_000311-R1	ML	26.737534
Morus_000311-R1	YL	18.519626
Morus_000312-R1	ML	2.028642
Morus_000312-R1	YL	1.546732
Morus_000314-R2	ML	129.809915
Morus_000314-R2	YL	77.217437
Morus_000315-R1	ML	7.19958
Morus_000315-R1	YL	66.786437
Morus_000316-R1	ML	1.333504
Morus_000316-R1	YL	6.100356
Morus_000318-R1	ML	41.107595
Morus_000318-R1	YL	55.240893
Morus_000321-R1	ML	0
Morus_000321-R1	YL	0
Morus_000323-R1	ML	47.532315
Morus_000323-R1	YL	22.718149
Morus_000325-R1	ML	0
Morus_000325-R1	YL	0
Morus_000326-R1	ML	0
Morus_000326-R1	YL	0
Morus_000327-R1	ML	36.457825
Morus_000327-R1	YL	65.262872
Morus_000328-R1	ML	418.983645
Morus_000328-R1	YL	332.83292
Morus_000329-R1	ML	32.798087
Morus_000329-R1	YL	42.084604
Morus_000332-R1	ML	617.220897
Morus_000332-R1	YL	217.199097
Morus_000333-R1	ML	109.329807
Morus_000333-R1	YL	56.468426
Morus_000334-R2	ML	0
Morus_000334-R2	YL	0
Morus_000335-R2	ML	48.570449000000004
Morus_000335-R2	YL	103.522333
Morus_000337-R1	ML	14.407222
Morus_000337-R1	YL	31.123428
Morus_000338-R1	ML	0
Morus_000338-R1	YL	0
Morus_000339-R1	ML	10.511152
Morus_000339-R1	YL	10.518628
Morus_000340-R2	ML	0
Morus_000340-R2	YL	0
Morus_000341-R1	ML	45.635008
Morus_000341-R1	YL	11.743063
Morus_000342-R1	ML	2.402549
Morus_000342-R1	YL	5.495447
Morus_000346-R1	ML	75.380258
Morus_000346-R1	YL	43.879415
Morus_000347-R1	ML	14.346072
Morus_000347-R1	YL	10.056009
Morus_000348-R1	ML	87.635584
Morus_000348-R1	YL	113.731852
Morus_000349-R1	ML	36.435619
Morus_000349-R1	YL	48.763148
Morus_000350-R1	ML	0
Morus_000350-R1	YL	0
Morus_000354-R1	ML	0
Morus_000354-R1	YL	0
Morus_000355-R1	ML	459.822634
Morus_000355-R1	YL	438.595564
Morus_000356-R1	ML	186.966752
Morus_000356-R1	YL	80.742449
Morus_000357-R1	ML	114.567759
Morus_000357-R1	YL	43.675905
Morus_000358-R1	ML	0.744928
Morus_000358-R1	YL	65.600283
Morus_000359-R1	ML	0
Morus_000359-R1	YL	1.706571
Morus_000360-R1	ML	4.829448
Morus_000360-R1	YL	0
Morus_000362-R1	ML	102.322244
Morus_000362-R1	YL	71.355419
Morus_000366-R1	ML	0
Morus_000366-R1	YL	0
Morus_000369-R1	ML	15.032473
Morus_000369-R1	YL	7.368081
Morus_000370-R1	ML	8.173856
Morus_000370-R1	YL	7.270818
Morus_000372-R1	ML	1.242338
Morus_000372-R1	YL	51.149681
Morus_000373-R1	ML	101.136487
Morus_000373-R1	YL	86.620408
Morus_000374-R1	ML	213.465151
Morus_000374-R1	YL	150.082195
Morus_000375-R1	ML	29.276233
Morus_000375-R1	YL	119.579826
Morus_000376-R1	ML	144.008607
Morus_000376-R1	YL	27.19789
Morus_000377-R1	ML	0
