Morus	tissue	A	B	total_AB	log2_BA
Morus_000097-R1	FF	0	0	0	0
Morus_000097-R1	FR	0	0	0	0
Morus_000097-R1	MF	0	0	0	0
Morus_000097-R1	ML	0	0	0	0
Morus_000097-R1	SD	0	0	0	0
Morus_000097-R1	YL	2.142426	5.778707	7.921132999999999	1.1091313422136968
Morus_000100-R1	FF	0	0	0	0
Morus_000100-R1	FR	0	0	0	0
Morus_000100-R1	MF	0	0	0	0
Morus_000100-R1	ML	0	0	0	0
Morus_000100-R1	SD	0	0	0	0
Morus_000100-R1	YL	0	0	0	0
Morus_000101-R1	FF	5.806819	0	5.806819	-2.7669807475639034
Morus_000101-R1	FR	3.952592	0	3.952592	-2.308183775056401
Morus_000101-R1	MF	26.692802	0	26.692802	-4.7914391300652275
Morus_000101-R1	ML	5.415861	0	5.415861	-2.6816428860598274
Morus_000101-R1	SD	0	0	0	0
Morus_000101-R1	YL	28.221352	0	28.221352	-4.868951024519931
Morus_000104-R1	FF	88.502304	0	88.502304	-6.483852916108843
Morus_000104-R1	FR	105.037062	0	105.037062	-6.728424792471352
Morus_000104-R1	MF	61.893438	0	61.893438	-5.974837595955202
Morus_000104-R1	ML	73.654358	0	73.654358	-6.222154576030473
Morus_000104-R1	SD	56.667305	2.024465	58.69177	-4.253001731052172
Morus_000104-R1	YL	52.93839	0	52.93839	-5.753240554286592
Morus_000107-R1	FF	4.231133	0	4.231133	-2.3871234505743475
Morus_000107-R1	FR	0	0	0	0
Morus_000107-R1	MF	1.728861	0	1.728861	-1.4482989099224557
Morus_000107-R1	ML	0	0	0	0
Morus_000107-R1	SD	0	0	0	0
Morus_000107-R1	YL	0	0	0	0
Morus_000108-R1	FF	64.265326	0	64.265326	-6.0282448187599815
Morus_000108-R1	FR	46.660471	0	46.660471	-5.574721303780352
Morus_000108-R1	MF	45.95345	1.77009	47.72354	-4.083226411525105
Morus_000108-R1	ML	819.958819	0	819.958819	-9.681166045012203
Morus_000108-R1	SD	3.242008	0	3.242008	-2.0847473416486295
Morus_000108-R1	YL	222.380258	3.368615	225.748873	-5.676181909419625
Morus_000110-R1	FF	0	26.688049	26.688049	4.791191494666986
Morus_000110-R1	FR	0	29.06568	29.06568	4.910045683440756
Morus_000110-R1	MF	0	26.17167	26.17167	4.764031332757801
Morus_000110-R1	ML	0	12.943431	12.943431	3.80151369753105
Morus_000110-R1	SD	0	35.004797	35.004797	5.170117227749718
Morus_000110-R1	YL	0	10.376391	10.376391	3.5079710504062636
Morus_000112-R1	FF	5.577993	0	5.577993	-2.717647472923899
Morus_000112-R1	FR	2.531223	0	2.531223	-1.8201679315011992
Morus_000112-R1	MF	4.558389	0	4.558389	-2.474666804083735
Morus_000112-R1	ML	6.24293	0	6.24293	-2.8565734323023633
Morus_000112-R1	SD	11.255774	0	11.255774	-3.6153896937963688
Morus_000112-R1	YL	2.16874	0	2.16874	-1.663909289225036
Morus_000114-R1	FF	0	0	0	0
Morus_000114-R1	FR	0	0	0	0
Morus_000114-R1	MF	0	0	0	0
Morus_000114-R1	ML	0	0	0	0
Morus_000114-R1	SD	0	0	0	0
Morus_000114-R1	YL	0	0	0	0
Morus_000115-R1	FF	0	22.728126	22.728126	4.568526258745532
Morus_000115-R1	FR	2.217942	4.583883	6.801825	0.795130389598724
Morus_000115-R1	MF	0	8.25495	8.25495	3.2102251959362706
Morus_000115-R1	ML	0	0	0	0
Morus_000115-R1	SD	0	0	0	0
Morus_000115-R1	YL	0	0	0	0
Morus_000116-R1	FF	0	0	0	0
Morus_000116-R1	FR	0	0	0	0
Morus_000116-R1	MF	0	1.398727	1.398727	1.262268973322158
Morus_000116-R1	ML	0	1.277082	1.277082	1.1871862453011752
Morus_000116-R1	SD	0	5.180696	5.180696	2.627769307257524
Morus_000116-R1	YL	0	2.661883	2.661883	1.8725856966469032
Morus_000117-R1	FF	37.189241	108.545651	145.734892	1.5202940577601574
Morus_000117-R1	FR	51.431645	177.21685	228.648495	1.7651240318064696
Morus_000117-R1	MF	38.109848	108.711254	146.821102	1.4881076884406914
Morus_000117-R1	ML	25.986512	58.541718	84.52823000000001	1.1416623284167635
Morus_000117-R1	SD	51.815942	146.418883	198.234825	1.4808759677189456
Morus_000117-R1	YL	25.705396	67.891566	93.59696199999999	1.3671960955060771
Morus_000120-R1	FF	19.984794	0	19.984794	-4.391272395774414
Morus_000120-R1	FR	39.763408	0	39.763408	-5.349202767077168
Morus_000120-R1	MF	20.414702	0	20.414702	-4.420529696182929
Morus_000120-R1	ML	20.07306	0	20.07306	-4.39732791669736
Morus_000120-R1	SD	46.531275	0	46.531275	-5.570805196538257
Morus_000120-R1	YL	17.931106	0	17.931106	-4.2426867940485975
Morus_000121-R1	FF	0	124.673236	124.673236	6.973533628703268
Morus_000121-R1	FR	0	44.109433	44.109433	5.495357247199802
Morus_000121-R1	MF	0	91.523042	91.523042	6.531740794996436
Morus_000121-R1	ML	0	13.401684	13.401684	3.8481656118606278
Morus_000121-R1	SD	0	72.488234	72.488234	6.199441377371481
Morus_000121-R1	YL	0	99.411379	99.411379	6.64977896002605
Morus_000122-R2	FF	160.09439	609.007714	769.1021039999999	1.920921232671081
Morus_000122-R2	FR	248.380408	1360.692672	1609.07308	2.44898109750922
Morus_000122-R2	MF	103.426926	1156.259996	1259.686922	3.4701473669377547
Morus_000122-R2	ML	249.3975	3164.684782	3414.082282	3.66022554516786
Morus_000122-R2	SD	158.252209	1069.566655	1227.818864	2.7489893332913624
Morus_000122-R2	YL	125.331481	619.928199	745.2596799999999	2.2972122577872716
Morus_000124-R1	FF	2.148935	0	2.148935	-1.6548639778145422
Morus_000124-R1	FR	0	0	0	0
