Orthogroup	d
OG0000218	binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism
OG0000219	catalytic activity:oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; 2-alkenal reductase [NAD(P)+] activity; oxidoreductase activity; response to oxidative stress
OG0000220	binding:peroxidase activity; response to oxidative stress; heme binding
OG0000222	binding:ATP binding; ATP hydrolysis activity
OG0000223	binding:RNA binding; RNA modification; protein binding; intracellular membrane-bounded organelle
OG0000224	binding:protein kinase activity; protein phosphorylation; ATP binding
OG0000225	unknown:plant-type cell wall organization
OG0000226	binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism
OG0000227	binding; catalytic activity:L-aspartate:2-oxoglutarate aminotransferase activity; mitochondrion; amino acid metabolic process; transaminase activity; biosynthetic process; pyridoxal phosphate binding
OG0000228	transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport
OG0000229	catalytic activity:hydrolase activity
OG0000230	unknown:phloem development
OG0000231	binding:GTPase activity; GTP binding
OG0000232	catalytic activity:UDP-glycosyltransferase activity; UDP-glucosyltransferase activity
OG0000233	unknown:proteolysis
OG0000234	carbohydrate metabolism:1,3-beta-D-glucan synthase activity; plasma membrane; glucosyltransferase activity; 1,3-beta-D-glucan synthase complex; (1->3)-beta-D-glucan biosynthetic process; membrane
OG0000235	binding:protein binding
OG0000236	catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation
OG0000237	unknown; catalytic activity:extracellular region; hydrolase activity, acting on ester bonds
OG0000238	binding; catalytic activity:copper ion binding; oxidoreductase activity
OG0000239	binding:protein kinase activity; ATP binding; protein phosphorylation; calcium ion binding
OG0000240	binding; unknown:peroxidase activity; response to oxidative stress; heme binding; nucleic acid binding; zinc ion binding; DNA integration
OG0000241	binding:GTPase activity; GTP binding
OG0000242	catalytic activity:aspartic-type endopeptidase activity; proteolysis; extracellular region; cell wall; Golgi apparatus; plasma membrane
OG0000243	catalytic activity:acyltransferase activity, transferring groups other than amino-acyl groups
OG0000244	catalytic activity:UDP-glycosyltransferase activity
OG0000246	catalytic activity:quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity; UDP-glycosyltransferase activity
OG0000247	catalytic activity:protein-arginine N-methyltransferase activity; peptidyl-arginine methylation; chromatin remodeling; peptidyl-arginine methylation, to asymmetrical-dimethyl arginine; NA; histone methyltransferase activity; nucleus; S-adenosylmethionine-dependent methyltransferase activity; histone H3R2 methyltransferase activity
OG0000249	binding:FAD binding; flavin adenine dinucleotide binding; oxidoreductase activity
OG0000250	binding:signal transduction; ADP binding; defense response
OG0000251	binding; transport:GTPase activity; GTP binding; cytoplasm; microtubule; microtubule binding; membrane; plasma membrane; receptor-mediated endocytosis
OG0000252	catalytic activity:cysteine-type peptidase activity; proteolysis
OG0000253	signaling:calcium ion binding; calcium-mediated signaling; kinase binding
OG0000255	transport:phosphatidylinositol phospholipase C activity; plasma membrane; intracellular signal transduction; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol; lipid metabolic process; signal transduction; phosphoric diester hydrolase activity
OG0000256	binding:RNA binding; RNA modification; zinc ion binding; protein binding; intracellular membrane-bounded organelle
OG0000257	binding:protein binding
OG0000258	binding:RNA binding; RNA modification; zinc ion binding; protein binding; intracellular membrane-bounded organelle
OG0000260	binding:protein heterodimerization activity; nucleosome; DNA binding; structural constituent of chromatin
OG0000261	catalytic activity; unknown; binding:chloroplast; chlorophyll catabolic process; pheophytinase activity; chlorophyll metabolic process; chlorophyllase activity; protein dimerization activity
