d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
NA	OG0009390	1	1	0	1	0	2	0	2	0	2	0	1	0	1	0	2	0	0	1	0
binding:single-stranded DNA binding; DNA replication; mitochondrial DNA replication; nucleoid; mitochondrial nucleoid; positive regulation of helicase activity	OG0009391	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1
binding:condensin complex; chromatin binding; mitotic chromosome condensation	OG0009392	2	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
catalytic activity:nucleolus; histone H3K4 demethylase activity; histone H3K36 demethylase activity	OG0009393	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009394	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
unknown:vacuolar protein processing; intracellular membrane-bounded organelle	OG0009395	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1
NA	OG0009396	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
transport:Golgi transport complex; intra-Golgi vesicle-mediated transport	OG0009397	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1
catalytic activity:endoplasmic reticulum membrane; protein N-linked glycosylation; oligosaccharide-lipid intermediate biosynthetic process; hexosyltransferase activity; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	OG0009398	3	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0
unknown:DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription	OG0009399	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1
catalytic activity:cytoplasm; protein ubiquitination; ubiquitin protein ligase activity	OG0009400	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1
NA	OG0009401	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1
unknown:chloroplast; chloroplast organization; chloroplast rRNA processing	OG0009402	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1
signaling:G protein-coupled receptor activity; plasma membrane; adenylate cyclase-activating G protein-coupled receptor signaling pathway; transmembrane signaling receptor activity; cell surface receptor signaling pathway; membrane	OG0009403	1	1	0	1	2	1	0	0	2	1	0	1	0	1	0	1	0	1	1	1
unknown:guard cell differentiation; stomatal complex development	OG0009404	2	1	0	2	1	1	0	0	2	1	0	1	0	1	0	2	0	0	1	0
catalytic activity:short-chain carboxylesterase activity; cellular lipid metabolic process; acylglycerol lipase activity	OG0009405	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
NA	OG0009406	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0
unknown:membrane	OG0009407	2	1	0	0	1	1	0	0	1	1	0	1	2	0	2	1	0	1	1	0
unknown:regulation of transcription by RNA polymerase II; cyclin-dependent protein serine/threonine kinase regulator activity	OG0009408	1	1	0	1	1	1	0	0	1	1	1	2	1	0	1	1	0	1	1	0
unknown:mitochondrial matrix	OG0009409	2	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0
binding:mRNA splicing, via spliceosome; catalytic step 2 spliceosome; protein binding	OG0009410	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
binding:protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II	OG0009411	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0
unknown:structural constituent of ribosome; ribosome; translation	OG0009412	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1
NA	OG0009413	2	1	1	0	0	1	0	0	0	1	1	2	1	2	1	0	0	1	0	1
catalytic activity:histone deacetylase complex; histone deacetylase activity; NA; epigenetic regulation of gene expression	OG0009414	1	1	1	1	0	1	0	1	0	1	0	1	2	1	1	1	0	1	1	0
NA	OG0009415	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0
transport:plasma membrane; monoatomic anion transport; mechanosensitive monoatomic ion channel activity; membrane; transmembrane transport	OG0009416	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1
binding:metal ion binding	OG0009417	2	1	0	0	0	1	1	1	0	1	1	2	0	2	0	1	0	1	1	0
transport:RNA export from nucleus; protein import into nucleus; structural constituent of nuclear pore; nuclear pore inner ring	OG0009418	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1
binding:RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; protein dimerization activity	OG0009419	2	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0
NA	OG0009420	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1
unknown:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); nucleolus; 90S preribosome; preribosome, small subunit precursor	OG0009421	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1
NA	OG0009422	1	0	2	0	2	0	1	0	1	0	1	0	2	0	2	0	1	1	0	1
NA	OG0009423	1	1	0	2	1	1	0	0	2	1	0	2	0	1	0	1	0	1	0	2
binding:mRNA binding; mitochondrion	OG0009424	2	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0
binding:zinc ion binding; ubiquitin-protein transferase activity; membrane; protein ubiquitination	OG0009425	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1
binding:protein binding	OG0009426	1	2	0	1	0	1	0	1	0	2	0	2	0	1	0	1	0	1	1	0
binding; catalytic activity:damaged DNA binding; DNA repair; DNA-directed DNA polymerase activity; nucleus; deoxycytidyl transferase activity; error-prone translesion synthesis; error-free translesion synthesis	OG0009427	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1
NA	OG0009428	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1
NA	OG0009429	1	1	1	2	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
unknown:photosystem II; photosystem II oxygen evolving complex; photosynthesis; membrane; chloroplast thylakoid membrane	OG0009430	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1
transport:intracellular protein transport; vesicle-mediated transport; protein binding; late endosome; protein targeting to vacuole; cellular response to starvation; macroautophagy; HOPS complex; endosomal vesicle fusion	OG0009431	5	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0
unknown:chloroplast	OG0009432	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0
binding:ATP-dependent peptidase activity; metalloendopeptidase activity; ATP binding; proteolysis; chloroplast thylakoid membrane; ATP hydrolysis activity	OG0009433	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0
unknown:chloroplast	OG0009434	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0	2	0	1	1	1
unknown:nucleus; nucleosome assembly; CAF-1 complex	OG0009435	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1
NA	OG0009436	1	1	0	1	1	1	0	1	0	1	0	1	2	1	1	1	0	1	1	0
unknown:proteasome assembly	OG0009437	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0
NA	OG0009438	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	2	0	0	1	0
binding:protein kinase activity; ATP binding; protein phosphorylation; autophagosome assembly; phagophore assembly site; protein serine/threonine kinase activity; cytoplasm; autophagosome; cytosol; regulation of autophagy; membrane; peptidyl-serine phosphorylation; protein autophosphorylation	OG0009439	1	1	0	1	0	1	1	1	0	1	1	2	1	1	0	1	0	0	1	0
catalytic activity:poly(ADP-ribose) glycohydrolase activity; nucleus; cytoplasm; carbohydrate metabolic process; regulation of DNA repair; nucleotide-sugar metabolic process; ATP generation from poly-ADP-D-ribose	OG0009440	1	2	0	2	0	1	0	1	0	2	0	2	0	1	0	1	0	1	1	0
NA	OG0009441	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
catalytic activity:sulfotransferase activity; heparan sulfate proteoglycan biosynthetic process, enzymatic modification; membrane; heparan sulfate 6-O-sulfotransferase activity	OG0009442	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0
catalytic activity:proteolysis; cysteine-type peptidase activity; protein deneddylation; deNEDDylase activity	OG0009443	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0
binding:RNA binding; RNA modification	OG0009444	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	2	0	1	1	1
binding; catalytic activity:nucleotide binding; DNA binding; nucleic acid binding; DNA-directed DNA polymerase activity; double-strand break repair via homologous recombination; nucleus; DNA repair; zeta DNA polymerase complex; translesion synthesis; error-prone translesion synthesis	OG0009445	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
unknown:chromatin remodeling	OG0009446	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1
binding:regulation of DNA-templated transcription; sequence-specific DNA binding; nucleus; cell differentiation	OG0009447	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0
unknown:signal peptidase complex; signal peptide processing; membrane; protein targeting to ER	OG0009448	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1
NA	OG0009449	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	2	0	1	1	1
binding:polysaccharide binding	OG0009450	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009451	2	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0
transport:ESCRT III complex; multivesicular body; vesicle budding from membrane; vacuolar transport; late endosome to vacuole transport via multivesicular body sorting pathway	OG0009452	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009453	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1
catalytic activity:peptidyl-prolyl cis-trans isomerase activity; chloroplast; thylakoid	OG0009454	2	1	0	1	0	2	0	1	0	1	0	2	0	1	0	1	0	2	1	0
binding:protein binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; metal ion binding; lipid oxidation	OG0009455	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0
NA	OG0009456	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	2	1	0
catalytic activity:D-cysteine desulfhydrase activity	OG0009457	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
transport:SNARE binding; 1-phosphatidylinositol binding; phosphatidylinositol-4,5-bisphosphate binding; clathrin-coated pit; vesicle budding from membrane; clathrin-coated vesicle; clathrin heavy chain binding; clathrin coat assembly; clathrin-dependent endocytosis; phospholipid binding	OG0009458	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1
binding:polysaccharide binding	OG0009459	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1
unknown:cytoplasm	OG0009460	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0
unknown:gamma-secretase complex	OG0009461	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0
transport:protein targeting to vacuole; protein retention in Golgi apparatus	OG0009462	1	1	0	1	0	1	0	1	0	2	0	3	0	1	0	1	0	1	1	0
binding:RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; protein dimerization activity	OG0009463	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009464	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009465	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1
NA	OG0009466	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0
unknown:intracellular membrane-bounded organelle	OG0009467	1	1	1	0	1	1	1	0	0	1	1	2	1	1	1	0	0	0	1	0
unknown:mitochondrial respiratory chain complex I; response to oxidative stress	OG0009468	2	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1
NA	OG0009469	1	2	0	1	0	1	0	1	0	2	0	2	0	2	0	1	0	0	1	0
binding:RNA binding; nucleic acid binding	OG0009470	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0
NA	OG0009471	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1
binding:mRNA binding	OG0009472	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	2
transport:vacuolar transport	OG0009473	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1
binding:ubiquitin-dependent protein catabolic process; SUMO binding; SUMO-targeted ubiquitin ligase complex; ubiquitin protein ligase activity; SUMO-ubiquitin ligase activity	OG0009474	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
NA	OG0009475	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0
unknown:EKC/KEOPS complex; tRNA threonylcarbamoyladenosine modification; nucleus; cytosol	OG0009476	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0
binding:signal transduction; protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity	OG0009477	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
binding:nucleic acid binding; zinc ion binding; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; hydrolase activity, acting on ester bonds; DNA binding; DNA repair; nuclease activity; nucleus; 5'-3' exonuclease activity; 5'-flap endonuclease activity; interstrand cross-link repair; flap-structured DNA binding	OG0009478	1	0	1	1	1	0	1	0	1	0	1	1	2	1	1	0	1	1	0	1
NA	OG0009479	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0
binding:RNA binding; RNA modification; zinc ion binding; protein binding	OG0009480	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0
NA	OG0009481	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1
unknown:extracellular region	OG0009482	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0
catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity	OG0009483	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0
unknown:enzyme inhibitor activity	OG0009484	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1
catalytic activity:protein tyrosine phosphatase activity; nucleus; cell differentiation; positive regulation of DNA repair; anatomical structure development	OG0009485	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0
unknown:recombinational repair; signal transduction	OG0009486	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1
signaling:protein phosphatase inhibitor activity; nucleus; cytoplasm; abscisic acid-activated signaling pathway; abscisic acid binding; signaling receptor activity	OG0009487	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0
binding:protein binding	OG0009488	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1
binding:double-strand break repair via homologous recombination; single-stranded DNA binding; nucleus; Smc5-Smc6 complex	OG0009489	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
transport:cytoplasm; protein import into nucleus; intracellular protein transport; small GTPase binding	OG0009490	2	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1
binding:zinc ion binding; RNA binding; RNA modification; protein binding	OG0009491	1	1	1	0	1	0	1	0	1	0	1	1	2	1	1	0	1	1	0	1
binding:mRNA binding	OG0009492	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1
unknown:alternative mRNA splicing, via spliceosome; mRNA splicing, via spliceosome; nucleus; cytoplasm	OG0009493	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1
catalytic activity:methylenetetrahydrofolate dehydrogenase (NADP+) activity; methenyltetrahydrofolate cyclohydrolase activity; cytosol; tetrahydrofolate interconversion	OG0009494	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1
binding:fatty acid biosynthetic process; thiolester hydrolase activity; acyl carrier activity; fatty acyl-[ACP] hydrolase activity	OG0009495	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0
catalytic activity:plasma membrane; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	OG0009496	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1
binding; signaling; unknown:mRNA binding; chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway; RNA splicing; protein binding	OG0009497	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1
catalytic activity:tRNA dihydrouridine synthesis; tRNA dihydrouridine synthase activity	OG0009498	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
binding:mitochondrion; mitochondrial electron transport, NADH to ubiquinone; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; unfolded protein binding	OG0009499	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0
binding:mRNA binding; catalytic step 2 spliceosome; helicase activity	OG0009500	5	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1
binding:nucleic acid binding; intracellular membrane-bounded organelle	OG0009501	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1
NA	OG0009502	2	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0
binding:3'-5'-RNA exonuclease activity; nuclear exosome (RNase complex); exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); single-stranded RNA binding; nucleolus; nuclear polyadenylation-dependent rRNA catabolic process; nuclear polyadenylation-dependent snoRNA catabolic process; nuclear polyadenylation-dependent snRNA catabolic process; nuclear polyadenylation-dependent tRNA catabolic process; nuclear polyadenylation-dependent CUT catabolic process; nuclear polyadenylation-dependent antisense transcript catabolic process; histone mRNA catabolic process; polyadenylation-dependent snoRNA 3'-end processing; nucleic acid binding; nucleobase-containing compound metabolic process; 3'-5' exonuclease activity; nucleotide binding	OG0009503	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0
binding:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding; mitochondrion; formate dehydrogenase (NAD+) activity; chloroplast	OG0009504	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1
unknown:photosystem I assembly	OG0009505	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1
binding:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA); endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); RNA binding; nucleolus; small-subunit processome assembly; nucleic acid binding	OG0009506	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1
NA	OG0009507	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1
unknown:chloroplast	OG0009508	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1
unknown:mitochondrion; lipid droplet; plasma membrane; glycolipid biosynthetic process	OG0009509	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1
NA	OG0009510	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0
binding:spindle; microtubule; nuclear microtubule; microtubule binding; protein kinase activator activity; activation of protein kinase activity; regulation of mitotic spindle organization; mitotic spindle assembly	OG0009511	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1
binding:chromatin binding; regulation of gene expression; establishment of mitotic sister chromatid cohesion; cohesin loader activity; establishment of protein localization to chromatin; Scc2-Scc4 cohesin loading complex; chromatin looping; replication-born double-strand break repair via sister chromatid exchange	OG0009512	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1
binding:metal ion binding; mitochondrion	OG0009513	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1
binding:DNA-directed 5'-3' RNA polymerase activity; DNA-templated transcription; ribonucleoside binding; DNA binding; nucleus	OG0009514	2	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1
NA	OG0009515	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1
unknown:nucleus; cytoplasm	OG0009516	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
binding:regulation of DNA-templated transcription; sequence-specific DNA binding	OG0009517	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0
binding:protein binding; protein-lysine N-methyltransferase activity; peptidyl-lysine monomethylation	OG0009518	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1
catalytic activity:RNA processing; RNA methyltransferase activity	OG0009519	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1
NA	OG0009520	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1
unknown:chloroplast fission	OG0009521	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1
binding:RNA binding; mRNA splicing, via spliceosome; U12-type spliceosomal complex; U12 snRNA binding; pre-mRNA intronic binding; nucleic acid binding	OG0009522	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0
catalytic activity:protein tyrosine phosphatase activity; cytosol; dephosphorylation; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity; phosphatidylinositol dephosphorylation	OG0009523	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1
binding:nucleic acid binding; zinc ion binding	OG0009524	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1
binding:ATP-dependent protein folding chaperone; ATP binding	OG0009525	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0
unknown; transport; binding:plasma membrane; ATPase-coupled transmembrane transporter activity; ATP binding; ATP hydrolysis activity; mitochondrial inner membrane; ABC-type oligopeptide transporter activity; oligopeptide export from mitochondrion; membrane; transmembrane transport; ABC-type transporter activity	OG0009526	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1
unknown:response to auxin	OG0009527	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1
unknown:protein folding chaperone; ribulose bisphosphate carboxylase complex assembly	OG0009528	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0
NA	OG0009529	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1
NA	OG0009530	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1
binding:RNA binding; RNA modification; protein binding; zinc ion binding	OG0009531	2	1	0	1	2	1	0	1	0	1	0	1	0	1	0	1	0	2	1	0
signaling:auxin-activated signaling pathway	OG0009532	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1
NA	OG0009533	2	0	2	0	1	0	1	0	1	0	1	0	2	0	2	0	1	1	0	1
binding:protein binding	OG0009534	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1
NA	OG0009535	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1
binding:mitochondrion; electron transfer activity; electron transport chain; 2 iron, 2 sulfur cluster binding; P450-containing electron transport chain; iron-sulfur cluster binding; chloroplast thylakoid membrane	OG0009536	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0
NA	OG0009537	1	0	2	0	1	0	2	0	1	0	2	0	2	0	2	1	0	0	0	0
NA	OG0009538	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
NA	OG0009539	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0
unknown:enzyme inhibitor activity; negative regulation of catalytic activity	OG0009540	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1
NA	OG0009541	1	2	0	0	0	1	0	0	0	2	0	4	0	3	0	0	0	1	0	0
transport:sterol transport; sterol binding	OG0009542	2	1	1	1	0	1	0	1	0	1	0	1	2	1	1	1	0	0	1	0
NA	OG0009543	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0
binding:RNA binding; RNA modification; protein binding	OG0009544	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0
binding:protein binding; RNA binding; RNA modification	OG0009545	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0
unknown:membrane	OG0009546	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0
binding:maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA); maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA); chloroplast; plastid translation; pseudouridine synthesis; RNA binding; RNA modification; pseudouridine synthase activity	OG0009547	2	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1
binding:nucleic acid binding; RNA binding	OG0009548	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0
unknown:structural constituent of ribosome; ribosome; translation	OG0009549	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0
catalytic activity:kinase activity; lipid kinase activity; ceramide kinase activity; sphingolipid metabolic process; ceramide metabolic process; phosphorylation	OG0009550	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009551	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0
NA	OG0009552	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0
unknown:plastid-encoded plastid RNA polymerase complex; plastid transcription	OG0009553	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0
carbohydrate metabolism:beta-galactosidase activity; lactose catabolic process; beta-galactosidase complex; carbohydrate metabolic process; carbohydrate binding; hydrolase activity, hydrolyzing O-glycosyl compounds	OG0009554	1	1	0	1	0	1	0	1	0	1	0	1	2	1	2	1	0	1	1	0
catalytic activity:hydrolase activity	OG0009555	1	2	0	1	0	1	0	1	0	1	0	2	0	2	0	1	0	1	1	0
catalytic activity:protein ubiquitination; transferase activity	OG0009556	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1
