d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
NA	OG0000104	9	7	6	7	3	7	5	7	4	7	5	7	6	7	6	6	3	5	6	4
catalytic activity:catechol oxidase activity; oxidoreductase activity	OG0000105	9	7	6	6	7	7	6	4	3	7	5	6	8	8	5	4	4	8	4	4
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000106	9	6	5	5	5	6	5	7	6	6	5	6	6	7	6	6	5	5	6	5
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000107	9	10	1	9	3	9	3	6	3	7	3	12	2	11	2	8	2	6	8	3
signaling:GTP binding; small GTPase-mediated signal transduction; GTPase activity	OG0000108	8	7	5	5	5	7	4	7	5	7	4	7	4	6	4	7	6	6	6	6
transport:potassium ion transport; potassium ion transmembrane transporter activity; membrane; potassium ion transmembrane transport; plasma membrane	OG0000109	6	7	4	6	5	7	5	7	5	7	4	7	5	7	5	6	5	6	6	5
binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism	OG0000110	15	7	5	6	6	6	6	7	3	6	6	7	5	5	5	6	3	1	6	3
NA	OG0000111	9	5	6	3	6	5	7	5	5	4	5	5	6	5	5	6	6	9	6	7
transport:oligopeptide transmembrane transporter activity; transmembrane transport	OG0000112	7	7	4	8	3	8	3	7	3	6	4	8	4	6	5	7	4	6	7	4
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0000113	7	5	6	6	5	6	6	6	4	6	5	6	6	7	5	7	3	7	6	2
carbohydrate metabolism:catalytic activity; trehalose-phosphatase activity; cytosol; trehalose biosynthetic process	OG0000114	7	6	5	6	5	6	5	6	5	6	5	6	5	6	5	5	6	6	6	5
catalytic activity:jasmonic acid metabolic process; salicylic acid metabolic process; methyl indole-3-acetate esterase activity; methyl salicylate esterase activity; methyl jasmonate esterase activity	OG0000115	13	3	8	3	8	3	8	2	7	3	9	4	8	4	7	3	7	1	3	7
binding:DNA binding	OG0000116	18	7	4	6	4	7	4	6	3	7	4	7	4	7	4	6	3	3	5	2
NA	OG0000117	12	7	4	7	6	7	4	5	2	6	4	6	6	6	4	5	3	9	5	2
NA	OG0000118	10	6	5	6	5	4	5	6	6	6	5	6	5	5	5	6	5	3	6	4
binding:GTPase activity; GTP binding	OG0000119	7	5	6	6	6	5	6	7	3	5	6	5	6	6	5	6	4	5	6	4
NA	OG0000120	7	6	5	6	6	7	3	6	4	7	5	6	5	6	5	6	3	3	6	5
transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport	OG0000121	11	4	8	4	4	5	5	4	5	5	5	5	8	4	8	3	6	4	4	6
catalytic activity:quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity; UDP-glycosyltransferase activity	OG0000122	7	5	7	4	8	5	6	3	6	5	7	5	7	4	6	4	5	3	4	6
catalytic activity; binding:terpene synthase activity; lyase activity; terpenoid biosynthetic process; magnesium ion binding	OG0000123	8	9	2	8	3	7	3	9	4	6	2	15	2	11	3	3	5	0	6	3
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0000124	8	4	7	3	7	4	6	3	7	4	7	4	7	4	7	3	7	6	3	7
catalytic activity:oxidoreductase activity	OG0000125	4	24	0	6	1	6	1	5	0	5	1	24	0	24	0	4	0	3	4	0
